user_id,group,converted
u001,control,0
u002,control,0
u003,control,1
u004,control,0
u005,control,0
u006,control,0
u007,control,0
u008,control,0
u009,control,0
u010,control,1
u011,control,0
u012,control,0
u013,control,0
u014,control,0
u015,control,0
u016,control,0
u017,control,0
u018,control,0
u019,control,0
u020,control,0
u021,treatment,0
u022,treatment,1
u023,treatment,0
u024,treatment,0
u025,treatment,1
u026,treatment,0
u027,treatment,0
u028,treatment,0
u029,treatment,0
u030,treatment,1
u031,treatment,0
u032,treatment,0
u033,treatment,0
u034,treatment,0
u035,treatment,0
u036,treatment,0
u037,treatment,0
u038,treatment,0
u039,treatment,0
u040,treatment,0

